doc_type_name	doc_id	year	lang_code
extra-gazettes	2423-16	2025	en
extra-gazettes	2438-83	2025	si
extra-gazettes	2438-83	2025	ta
extra-gazettes	2438-83	2025	en
extra-gazettes	2439-38	2025	si
extra-gazettes	2439-38	2025	ta
extra-gazettes	2439-38	2025	en
extra-gazettes	2439-06	2025	si
extra-gazettes	2439-06	2025	ta
extra-gazettes	2439-06	2025	en
extra-gazettes	2438-88	2025	si
extra-gazettes	2438-88	2025	ta
extra-gazettes	2438-88	2025	en
extra-gazettes	2438-50	2025	si
extra-gazettes	2438-50	2025	en
extra-gazettes	2425-06	2025	si
extra-gazettes	2425-06	2025	ta
extra-gazettes	2425-06	2025	en
extra-gazettes	2422-12	2025	si
extra-gazettes	2422-12	2025	ta
extra-gazettes	2422-12	2025	en
extra-gazettes	2431-20	2025	si
extra-gazettes	2431-20	2025	en
extra-gazettes	2426-40	2025	si
extra-gazettes	2426-40	2025	ta
extra-gazettes	2426-40	2025	en
extra-gazettes	2434-07	2025	si
extra-gazettes	2434-07	2025	ta
extra-gazettes	2434-07	2025	en
extra-gazettes	2439-15	2025	si
extra-gazettes	2439-15	2025	en
extra-gazettes	2423-06	2025	si
extra-gazettes	2423-06	2025	en
extra-gazettes	2426-18	2025	si
extra-gazettes	2426-18	2025	en
extra-gazettes	2438-77	2025	si
extra-gazettes	2438-77	2025	ta
extra-gazettes	2438-77	2025	en
extra-gazettes	2425-32	2025	si
extra-gazettes	2425-32	2025	en
extra-gazettes	2422-43	2025	si
extra-gazettes	2422-43	2025	ta
extra-gazettes	2422-43	2025	en
extra-gazettes	2427-11	2025	si
extra-gazettes	2427-11	2025	ta
extra-gazettes	2427-11	2025	en
extra-gazettes	2439-57	2025	si
extra-gazettes	2439-57	2025	en
extra-gazettes	2428-13	2025	si
extra-gazettes	2428-13	2025	ta
extra-gazettes	2428-13	2025	en
extra-gazettes	2439-66	2025	si
extra-gazettes	2439-66	2025	ta
extra-gazettes	2439-66	2025	en
extra-gazettes	2441-45	2025	si
extra-gazettes	2441-45	2025	en
extra-gazettes	2421-50	2025	si
extra-gazettes	2421-50	2025	ta
extra-gazettes	2421-50	2025	en
extra-gazettes	2429-63	2025	si
extra-gazettes	2429-63	2025	ta
extra-gazettes	2429-63	2025	en
extra-gazettes	2429-70	2025	si
extra-gazettes	2429-70	2025	ta
extra-gazettes	2429-70	2025	en
extra-gazettes	2424-27	2025	si
extra-gazettes	2424-27	2025	en
extra-gazettes	2424-31	2025	si
extra-gazettes	2424-31	2025	ta
extra-gazettes	2424-31	2025	en
extra-gazettes	2440-27	2025	si
extra-gazettes	2440-27	2025	ta
extra-gazettes	2440-27	2025	en
extra-gazettes	2424-85	2025	si
extra-gazettes	2424-85	2025	ta
extra-gazettes	2424-85	2025	en
extra-gazettes	2440-11	2025	si
extra-gazettes	2440-11	2025	en
extra-gazettes	2424-32	2025	si
extra-gazettes	2424-32	2025	ta
extra-gazettes	2424-32	2025	en
extra-gazettes	2422-45	2025	si
extra-gazettes	2422-45	2025	ta
extra-gazettes	2422-45	2025	en
extra-gazettes	2424-77	2025	si
extra-gazettes	2424-77	2025	ta
extra-gazettes	2424-77	2025	en
extra-gazettes	2423-34	2025	si
extra-gazettes	2423-34	2025	ta
extra-gazettes	2423-34	2025	en
extra-gazettes	2429-44	2025	si
extra-gazettes	2429-44	2025	ta
extra-gazettes	2429-44	2025	en
extra-gazettes	2437-56	2025	si
extra-gazettes	2437-56	2025	ta
extra-gazettes	2437-56	2025	en
extra-gazettes	2431-15	2025	si
extra-gazettes	2431-15	2025	ta
extra-gazettes	2431-15	2025	en
extra-gazettes	2429-07	2025	si
extra-gazettes	2429-07	2025	ta
extra-gazettes	2429-07	2025	en
extra-gazettes	2427-27	2025	si
extra-gazettes	2427-27	2025	ta
extra-gazettes	2427-27	2025	en
extra-gazettes	2429-56	2025	si
extra-gazettes	2429-56	2025	ta
extra-gazettes	2429-56	2025	en
extra-gazettes	2429-68	2025	si
extra-gazettes	2429-68	2025	en
extra-gazettes	2437-16	2025	si
extra-gazettes	2437-16	2025	ta
extra-gazettes	2437-16	2025	en
extra-gazettes	2440-01	2025	si
extra-gazettes	2440-01	2025	en
extra-gazettes	2438-80	2025	si
extra-gazettes	2438-80	2025	ta
extra-gazettes	2438-80	2025	en
extra-gazettes	2433-29	2025	si
extra-gazettes	2433-29	2025	ta
extra-gazettes	2433-29	2025	en
extra-gazettes	2422-57	2025	si
extra-gazettes	2422-57	2025	ta
extra-gazettes	2422-57	2025	en
extra-gazettes	2422-47	2025	si
extra-gazettes	2422-47	2025	ta
extra-gazettes	2422-15	2025	si
extra-gazettes	2422-15	2025	ta
extra-gazettes	2422-15	2025	en
extra-gazettes	2429-37	2025	si
extra-gazettes	2429-37	2025	ta
extra-gazettes	2429-37	2025	en
extra-gazettes	2432-28	2025	si
extra-gazettes	2432-28	2025	ta
extra-gazettes	2432-28	2025	en
extra-gazettes	2423-30	2025	si
extra-gazettes	2423-30	2025	en
extra-gazettes	2443-01	2025	si
extra-gazettes	2443-01	2025	ta
extra-gazettes	2443-01	2025	en
extra-gazettes	2432-30	2025	si
extra-gazettes	2432-30	2025	ta
extra-gazettes	2432-30	2025	en
extra-gazettes	2428-01	2025	si
extra-gazettes	2428-01	2025	ta
extra-gazettes	2428-01	2025	en
extra-gazettes	2424-78	2025	si
extra-gazettes	2424-78	2025	ta
extra-gazettes	2424-78	2025	en
extra-gazettes	2438-45	2025	si
extra-gazettes	2438-45	2025	ta
extra-gazettes	2438-45	2025	en
extra-gazettes	2422-64	2025	si
extra-gazettes	2422-64	2025	ta
extra-gazettes	2427-05	2025	si
extra-gazettes	2427-05	2025	ta
extra-gazettes	2427-05	2025	en
extra-gazettes	2429-26	2025	si
extra-gazettes	2429-26	2025	ta
extra-gazettes	2429-26	2025	en
extra-gazettes	2421-48	2025	si
extra-gazettes	2421-48	2025	ta
extra-gazettes	2421-48	2025	en
extra-gazettes	2427-31	2025	si
extra-gazettes	2427-31	2025	ta
extra-gazettes	2427-31	2025	en
extra-gazettes	2426-54	2025	ta
extra-gazettes	2426-29	2025	si
extra-gazettes	2426-29	2025	en
extra-gazettes	2443-21	2025	si
extra-gazettes	2443-21	2025	en
extra-gazettes	2433-38	2025	si
extra-gazettes	2433-38	2025	en
extra-gazettes	2438-28	2025	si
extra-gazettes	2438-28	2025	ta
extra-gazettes	2438-28	2025	en
extra-gazettes	2438-23	2025	si
extra-gazettes	2438-23	2025	ta
extra-gazettes	2438-23	2025	en
extra-gazettes	2437-46	2025	si
extra-gazettes	2437-46	2025	en
extra-gazettes	2423-08	2025	si
extra-gazettes	2423-08	2025	ta
extra-gazettes	2423-08	2025	en
extra-gazettes	2430-21	2025	si
extra-gazettes	2430-21	2025	ta
extra-gazettes	2430-21	2025	en
extra-gazettes	2438-75	2025	si
extra-gazettes	2438-75	2025	ta
extra-gazettes	2438-75	2025	en
extra-gazettes	2429-25	2025	si
extra-gazettes	2429-25	2025	ta
extra-gazettes	2429-25	2025	en
extra-gazettes	2424-63	2025	si
extra-gazettes	2424-63	2025	ta
extra-gazettes	2424-63	2025	en
extra-gazettes	2429-75	2025	si
extra-gazettes	2429-75	2025	ta
extra-gazettes	2429-75	2025	en
extra-gazettes	2422-21	2025	si
extra-gazettes	2422-21	2025	ta
extra-gazettes	2422-21	2025	en
extra-gazettes	2435-20	2025	si
extra-gazettes	2435-20	2025	en
extra-gazettes	2439-05	2025	si
extra-gazettes	2439-05	2025	ta
extra-gazettes	2439-05	2025	en
extra-gazettes	2441-15	2025	si
extra-gazettes	2441-15	2025	ta
extra-gazettes	2441-15	2025	en
extra-gazettes	2434-23	2025	si
extra-gazettes	2434-23	2025	ta
extra-gazettes	2434-23	2025	en
extra-gazettes	2429-01	2025	si
extra-gazettes	2429-01	2025	ta
extra-gazettes	2429-01	2025	en
extra-gazettes	2425-09	2025	si
extra-gazettes	2425-09	2025	ta
extra-gazettes	2425-09	2025	en
extra-gazettes	2437-41	2025	si
extra-gazettes	2437-41	2025	ta
extra-gazettes	2437-41	2025	en
extra-gazettes	2426-16	2025	si
extra-gazettes	2426-16	2025	ta
extra-gazettes	2426-16	2025	en
extra-gazettes	2439-55	2025	si
extra-gazettes	2439-55	2025	ta
extra-gazettes	2439-55	2025	en
extra-gazettes	2427-09	2025	si
extra-gazettes	2427-09	2025	ta
extra-gazettes	2427-09	2025	en
extra-gazettes	2425-40	2025	si
extra-gazettes	2425-40	2025	ta
extra-gazettes	2425-40	2025	en
extra-gazettes	2431-48	2025	si
extra-gazettes	2431-48	2025	ta
extra-gazettes	2431-48	2025	en
extra-gazettes	2427-06	2025	si
extra-gazettes	2427-06	2025	ta
extra-gazettes	2427-06	2025	en
extra-gazettes	2438-73	2025	si
extra-gazettes	2438-73	2025	ta
extra-gazettes	2438-73	2025	en
extra-gazettes	2440-22	2025	si
extra-gazettes	2440-22	2025	en
extra-gazettes	2438-68	2025	si
extra-gazettes	2438-68	2025	en
extra-gazettes	2426-43	2025	si
extra-gazettes	2426-43	2025	ta
